순번,요리분류,음식명,인분,출처,재료명1,코드1,용량1,재료명2,코드2,용량2,재료명3,코드3,용량3,재료명4,코드4,용량4,재료명5,코드5,용량5,재료명6,코드6,용량6,재료명7,코드7,용량7,재료명8,코드8,용량8,재료명9,코드9,용량9,재료명10,코드10,용량10,재료명11,코드11,용량11,재료명12,코드12,용량12,재료명13,코드13,용량13,재료명14,코드14,용량14,재료명15,코드15,용량15,재료명16,코드16,용량16,재료명17,코드17,용량17,재료명18,코드18,용량18,재료명19,코드19,용량19,재료명20,코드20,용량20
418,식사,달걀콩비지밥,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,비지,D0160000009a,100.0,달걀,J0030000000a,55.0,베이컨,I0210000009a,20.0,당근,F041000B090a,50.0,브로콜리,F0920000000a,50.0,마늘,F053000B060a,10.0,두유(대두),D0170000009a,100.0,소금,R0200000009a,2.0,흑후추,R0410010005a,2.0,고춧가루,R0070000005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,식사,콩치즈,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,병아리콩,D0210010001a,100.0,달걀,J0030000000a,55.0,파프리카,F194000C010a,50.0,양파,F1320000000a,70.0,모짜렐라치즈,M0100020009a,20.0,두유(대두),D0170000009a,60.0,마요네즈,R0150010009a,15.0,흑후추,R0410010005a,2.0,파슬리,F1930000000a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,식사,크런치치즈카나페,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,체다치즈,M0100040009a,18.0,달걀,J0030000000a,55.0,방울토마토,F1860010000a,30.0,오이,F1480010000a,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,식사,머그컵에그인헬,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,달걀,J0030000000a,110.0,병아리콩,D0210010001a,30.0,체다치즈,M0100040009a,18.0,방울토마토,F1860010000a,30.0,샐러리,F1070000000a,50.0,마늘,F053000B060a,6.0,양파,F1320000000a,35.0,토마토소스,R0380000009a,30.0,흑후추,R0410010005a,2.0,로즈마리,R0460000001a,2.0,호밀빵,A0450000009a,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,식사,체리베리포리지,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,체리,H1110000000a,50.0,바나나,H0370000000a,100.0,오트밀,A0020000009a,30.0,두유(대두),D0170000009a,133.0,아몬드,E0200000001a,20.0,블루베리,H0470000000a,20.0,계피가루,R0030000005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,식사,오트밀게맛살찜,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,오트밀,A0020000009a,30.0,게맛살,K6030000009a,70.0,달걀,J0030000000a,110.0,우유(저지방),M0090040009a,100.0,청양고추,F0180080000a,10.0,양파,F1320000000a,70.0,칠리소스,R0620000009a,2.0,파마산치즈,M0100070009a,2.0,파슬리,F1930000000a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,
424,식사,에그아보카도토스트,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,식빵,A0210120009a,35.0,달걀,J0030000000a,55.0,아보카도,H0640000000a,85.0,방울토마토,F1860010000a,10.0,체다치즈,M0100040009a,18.0,아몬드,E0200000001a,4.0,레몬과즙,H0250000009a,2.0,고춧가루,R0070000005a,2.0,올리브유,N0170000009a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,식사,아보카도두부밥,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,두부,D0150000009a,125.0,현미밥,A013000A069a,70.0,달걀,J0030000000a,55.0,아보카도,H0640000000a,85.0,김,L0030010001a,1.0,올리브유,N0170000009a,5.0,고추냉이,F021000B090a,2.0,들기름,N0030000009a,7.5,양조간장,R0010010009a,15.0,치아씨,E038000B171a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,식사,바나나프렌치토스트,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,식빵,A0210120009a,35.0,달걀,J0030000000a,55.0,바나나,H0370000000a,50.0,체다치즈,M0100040009a,18.0,코코넛유,N0210000009a,7.5,땅콩버터,N0050000009a,7.5,계피가루,R0030000005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,식사,시금치양송이닭가슴살수프,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,시금치,F1150000000a,70.0,양파,F1320000000a,50.0,양송이버섯,G0180000000a,20.0,닭가슴살,I008000D020a,40.0,두유(대두),D0170000009a,200.0,체다치즈,M0100040009a,18.0,소금,R0200000009a,2.0,흑후추,R0410010005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
