순번,요리분류,음식명,인분,출처,재료명1,코드1,용량1,재료명2,코드2,용량2,재료명3,코드3,용량3,재료명4,코드4,용량4,재료명5,코드5,용량5,재료명6,코드6,용량6,재료명7,코드7,용량7,재료명8,코드8,용량8,재료명9,코드9,용량9,재료명10,코드10,용량10,재료명11,코드11,용량11,재료명12,코드12,용량12,재료명13,코드13,용량13,재료명14,코드14,용량14,재료명15,코드15,용량15,재료명16,코드16,용량16,재료명17,코드17,용량17,재료명18,코드18,용량18,재료명19,코드19,용량19,재료명20,코드20,용량20
11,밥류,유부초밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,32.2,유부,D0150040009j,24.4,사과식초,R0220030009a,1.2,양조간장,R0010010009a,0.7,설탕,C0110000005a,0.7,참기름,N0200000009a,0.5,흰깨,E0260020009n,0.2,소금,R0200000009a,0.1,검정깨,E0260010001a,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,밥류,잡곡밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,69.2,보리,A025002A010a,6.7,찹쌀백미,A038000A030a,5.6,현미,A008009A060a,4.8,콩(대두),D0120010001a,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,밥류,참치김밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,53.2,다랑어(통조림),K039001000Sa,14.2,단무지,F060000B09Ia,10.0,달걀,J0030000000a,9.1,오이,F1480010000a,8.2,우엉,F1540000000a,5.7,당근,F041000B090a,6.0,게맛살,K6030000009a,5.6,어묵,K8000000009e,4.7,김,L0030010001a,1.4,깻잎,F049000B140a,1.1,참기름,N0200000009a,0.9,소금,R0200000009a,0.9,사과식초,R0220030009a,0.9,설탕,C0110000005a,0.8,콩기름,N0220000009a,0.5,,,,,,,,,,,,
14,밥류,콩밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,85.0,콩(대두),D0120010001a,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,밥류,현미밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,60.9,현미,A008009A060a,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,면만두류,고기만두,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,밀가루,A0160000100a,20.6,돼지고기뒷다리,I014000D100a,18.9,두부,D0150000009a,15.9,부추,F0910010000a,15.7,숙주나물,F1120000000a,11.9,쪽파,F1910030000a,2.2,양조간장,R0010010009a,1.8,참기름,N0200000009a,1.3,소금,R0200000009a,0.8,마늘,F053000B060a,0.8,생강페이스트,R0190000009a,0.4,흑후추,R0410010005a,0.1,,,,,,,,,,,,,,,,,,,,,,,,
17,면만두류,군만두,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,고기만두,S0260010009a,28.6,돼지고기뒷다리,I014000D100a,3.6,숙주나물,F1120000000a,3.2,밀가루,A0160000100a,3.2,두부,D0150000009a,3.2,콩기름,N0220000009a,2.1,양조간장,R0010010009a,0.7,쪽파,F1910030000a,0.4,당면(고구마),B0070010001a,0.4,참기름,N0200000009a,0.3,소금,R0200000009a,0.3,생강페이스트,R0190000009a,0.2,마늘,F053000B060a,0.2,흑후추,R0410010005a,0.01,,,,,,,,,,,,,,,,,,
18,면만두류,떡국,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,가래떡,A0110010009a,94.1,소고기양지,I027003D280a,10.4,달걀,J0030000000a,9.6,쪽파,F1910030000a,4.8,양조간장,R0010010009a,2.3,소금,R0200000009a,0.7,마늘,F053000B060a,0.7,김,L0030010001a,0.3,참기름,N0200000009a,0.2,흑후추,R0410010005a,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,면만두류,떡만둣국,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,가래떡,A0110010009a,73.5,고기만두,S0260010009a,45.7,달걀,J0030000000a,9.6,쪽파,F1910030000a,7.0,소고기양지,I027003D280a,6.4,양조간장,R0010010009a,1.3,소금,R0200000009a,0.6,마늘,F053000B060a,0.5,소고기맛조미료,R0310001905a,0.4,참기름,N0200000009a,0.2,김,L0030010001a,0.1,흑후추,R0410010005a,0.04,,,,,,,,,,,,,,,,,,,,,,,,
20,면만두류,라면,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,라면,S0830001911a,80.0,달걀,J0030000000a,6.0,대파,F1910040000a,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,면만두류,만둣국,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,고기만두,S0260010009a,59.7,두부,D0150000009a,13.1,달걀,J0030000000a,13.1,돼지고기뒷다리,I014000D100a,10.7,밀가루,A0160000100a,10.2,숙주나물,F1120000000a,9.7,쪽파,F1910030000a,8.4,양조간장,R0010010009a,3.8,소금,R0200000009a,1.3,마늘,F053000B060a,0.9,참기름,N0200000009a,0.8,흑후추,R0410010005a,0.1,,,,,,,,,,,,,,,,,,,,,,,,
22,면만두류,메밀국수,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,메밀국수,A0050000001a,212.8,무,F065001B090a,31.9,쪽파,F1910030000a,15.9,양조간장,R0010010009a,8.0,겨자페이스트,R0500000009a,4.7,김,L0030010001a,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,면만두류,비빔국수,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,소면,A0180010001a,111.0,배추김치,F2050070009a,17.0,고추장,R0050010009a,12.6,오이,F1480010000a,9.7,애호박,F1980050000a,7.3,달걀,J0030000000a,7.3,소고기양지,I027003D280a,4.8,대파,F1910040000a,4.4,당근,F041000B090a,3.1,표고버섯,G0270020000a,2.5,참기름,N0200000009a,1.3,설탕,C0110000005a,1.1,마늘,F053000B060a,0.7,흰깨,E0260020009n,0.5,깨소금가루,R0090000005n,0.2,소고기맛조미료,R0310001905a,0.1,,,,,,,,,,,,
24,면만두류,수제비,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,밀가루,A0160000100a,37.4,감자,B0010060000a,19.5,애호박,F1980050000a,11.8,달걀,J0030000000a,8.1,양파,F1320000000a,7.4,백포도주,Q0160021849a,5.9,양조간장,R0010010009a,2.1,참기름,N0200000009a,1.1,대파,F1910040000a,0.8,소고기맛조미료,R0310001905a,0.8,소금,R0200000009a,0.7,마늘,F053000B060a,0.6,,,,,,,,,,,,,,,,,,,,,,,,
25,면만두류,스파게티,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,스파게티,A0240020001a,38.7,양파,F1320000000a,9.0,토마토페이스트,F1880000009a,7.2,소고기등심,I027003D110a,6.6,토마토,F1860000000a,6.3,콩기름,N0220000009a,3.1,양송이버섯,G0180000000a,2.9,피망,F196000C020a,2.7,적포도주,Q0160031849a,1.0,소금,R0200000009a,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,면만두류,우동,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,우동,A0180020000a,64.3,어묵,K8000000009e,12.2,달걀,J0030000000a,9.5,새우튀김,K6160000009a,6.5,게맛살,K6030000009a,4.7,대파,F1910040000a,2.3,소금,R0200000009a,1.9,멸치말린것(대멸치),K0660001143a,1.2,마늘,F053000B060a,0.5,다시마(말린것),L0050000001a,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,면만두류,자장면,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,중면,A0180050001a,149.3,양파,F1320000000a,40.7,양배추,F1290000000a,30.0,애호박,F1980050000a,28.5,돼지고기등심,I014000D110a,22.4,춘장,R0580000009a,20.5,오이,F1480010000a,16.0,콩기름,N0220000009a,10.2,대파,F1910040000a,4.5,청주,Q0140001759a,4.0,양조간장,R0010010009a,4.0,전분(감자),B0140010005a,3.1,생강페이스트,R0190000009a,2.4,설탕,C0110000005a,1.0,,,,,,,,,,,,,,,,,,
28,면만두류,잔치국수,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,소면,A0180010001a,109.3,배추김치,F2050070009a,23.9,애호박,F1980050000a,20.8,달걀,J0030000000a,14.0,양파,F1320000000a,11.5,당근,F041000B090a,6.6,양조간장,R0010010009a,4.4,대파,F1910040000a,3.3,멸치말린것(대멸치),K0660001143a,2.7,참기름,N0200000009a,1.2,마늘,F053000B060a,1.1,소금,R0200000009a,0.7,고춧가루,R0070000005a,0.7,콩기름,N0220000009a,0.7,김,L0030010001a,0.5,다시마(말린것),L0050000001a,0.3,흑후추,R0410010005a,0.03,,,,,,,,,
29,면만두류,잡채,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,당면(고구마),B0070010001a,20.5,시금치,F1150000000a,13.6,양파,F1320000000a,11.7,소고기양지,I027003D280a,11.4,당근,F041000B090a,7.1,양조간장,R0010010009a,6.3,표고버섯,G0270020000a,4.5,콩기름,N0220000009a,2.6,대파,F1910040000a,1.6,설탕,C0110000005a,1.5,목이버섯(말린것),G0080000001a,1.2,참기름,N0200000009a,1.2,마늘,F053000B060a,0.7,흰깨,E0260020009n,0.6,소금,R0200000009a,0.1,소고기맛조미료,R0310001905a,0.1,흑후추,R0410010005a,0.1,,,,,,,,,
